text,selected_text,sentiment
think iv hurt tooth eilish cassi draw competiton draw cooki pineappl haha l,think iv hurt tooth eilish cassi draw competiton draw cooki pineappl haha l,neutral
want know audit mander text repli pleas,want know audit mander text repli pleas,neutral
even nooooo secret namerebecca pleas,secret namerebecca pleas,negative
miss neic wait see bad n grown lol,miss,negative
need get comput fix,need get comput fix,neutral
realli hope car ill termin,ill,negative
cool peopl want find follow today english guess english tweet,cool peopl want find follow today english guess english tweet,neutral
sir woulda put honey,sir woulda put honey,neutral
watch x men origin wolverin total love haha,total love,positive
vote u person myspac keep talk fake u help thru hrdest time life x,u help thru hrdest time life,positive
sad miss guy last night,sad,negative
final got call marriag counsel day late,final got call marriag counsel day late,neutral
ok,ok,neutral
_ babi,babi,neutral
today last day high school end go home sick stupid dead rat,sick,negative
impromptu pool parti except know swim get,impromptu pool parti except know swim get,neutral
lost tooth day whilst eat gum oww,oww,negative
happi year,happi year,positive
oh hella forgot say offici good morn like hear go goooooooooooood morrrrrrrrn twittervil lol,goooooooooooood morrrrrrrrn,positive
phew make note case anyon els run issueï ½,phew make note case anyon els run issueï ½,neutral
vote everi day,vote everi day,negative
starv diet kill eat pm,diet kill,negative
talk,talk,neutral
im soo bore im deffo miss music channel,bore,negative
nite nite bday girl fun concert,e fun,positive
nicotin replac patch hour far good sleep hour get bit twitchi,far good sleep hour get bit twitchi,neutral
_sanderson twatter late either get repli turn,twatter late either get repli turn,neutral
sleep lost voic coupl day ago,lost voic,negative
hate park car get hit,hate,negative
heard fall wait,heard fall wait,neutral
nightmar huggl,nightmar huggl,neutral
creeper feel disappoint cyberstalk skill internet privaci,creeper feel disappoint cyberstalk skill internet privaci,negative
go bed late headach,headach,negative
happi mother day mom,happi,positive
grab coffe make mom breakfast,grab coffe make mom breakfast,neutral
im think im go fun tonight mayb chang come,go fun,positive
thank major chop,thank major chop,neutral
haha know cant handl fame thank,thank,positive
got updat ipod,got updat ipod,neutral
ye sober hahaha tanghal tapat dude haha wild kno plan plan go us,hahaha,positive
never miss icarli son huge crush miranda,crush,positive
saw jame carvil store today head realli bald,saw jame carvil store today head realli bald,neutral
yellow,yellow,neutral
mean go come back vancouv way hahah,mean go come back vancouv way hahah,neutral
feel smooth like chrome,feel smooth,positive
ew traffic,ew traffic,negative
download song tri sneak lil homework main prioriti song lol,download song tri sneak lil homework main prioriti song lol,neutral
_ra_ra_ alon need coffe,alon need coffe,neutral
sound like,sound like,neutral
bad day day realiz mess put one happiest day life,bad day day realiz mess put one happiest day life,neutral
walk class hate bike especi mine,hate bike,negative
_nesmith,_nesmith,neutral
fail inspect know pass wo oven wo anti tip bracket sold w oven wors tax,wors tax,negative
jona brother live parti rock hard love song,jona brother live parti rock hard,positive
happi mother day mother world,happi,positive
min hr min googl wave demo look lot fun would love test though,would love test though,positive
sleepi tabz head bed fun night listen next episod joss,fun night,positive
except short dude larenz fineass tate yum,except short dude larenz fineass tate yum,neutral
screw review thought wolverin awesom enough domin monaghan like,thought wolverin awesom,positive
follow us recent pleas dont offend follow back hit limit hope free soon,hope,positive
ye work,ye work,neutral
hmmm mayb meant elud someth brand new know media,hmmm mayb meant elud someth brand new know media,neutral
done spa meet vic late lunch,done spa meet vic late lunch,neutral
happi monday go tavar today hope everyon bless day,happi,positive
alway want go oz,alway want go oz,neutral
thx,thx,neutral
cool luv,luv,positive
need repres blackberri,need,positive
okay dedic th tweet fact go appl store huge crack glass screen,okay dedic th tweet fact go appl store huge crack glass screen,neutral
could ever actual allow stay,could ever actual allow stay,neutral
let know turn,let know turn,neutral
sass detect long back sass haha,sass detect long back sass haha,neutral
yeah think ahaha,ahaha,positive
sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help googl ki jai ho,sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help googl ki jai ho,neutral
sleep accept appolog,sleep un,negative
wolverin boss serious,serious,negative
live pain bring,live pain bring,neutral
okay back later,okay back later,neutral
powerblog powerblog challeng keep talk newbi follow,g powerblog challeng keep talk newbi follow,neutral
almost die laptop screen set bright reinstal window vista got headach insanedefault,die,positive
wait tish get got drive mom crv pick ducki first time,wait tish get got drive mom crv pick ducki first time,neutral
tri decid movi friend go well lol p bibl studi nite mean day cake buy,go well,negative
go shower want smell school tomorrow,go shower want smell school tomorrow,neutral
sigh know,sigh know,neutral
discov caus bug new netplay build publish bug fix hope new beta tomorrow,hope,positive
free twitter tool get follow,free twitter tool get follow,neutral
got home work chug big bottl appl juic,got home work chug big bottl appl juic,neutral
ye pleas dont go die cri normal lead small anim get harm,g harm,negative
write report card soooo tire amaz day check fb soon,amaz day,positive
big brother done,big brother done,neutral
good news final finish easact workout paus hour bad news resist band torn,good news final finish easact workout paus hour bad news resist band torn,neutral
well good morn wonder day neighborhood thank follow anoth morn,well good morn wonder day neighborhood thank follow anoth morn,positive
ftsk merci merced amaz tonight alway,amaz tonight,positive
hope ok,hope,positive
school done alreadi hurt much see everi day,hurt much,positive
wait listen wind blow tumblewe none old enough know someon say crackerack,wait listen wind blow tumblewe none old enough know someon say crackerack,neutral
hell yeah,hell yeah,neutral
shirt dinner need ask actual vill,shirt dinner need ask actual vill,neutral
know,know,neutral
huh smelli noooo love alex vixon,huh smelli noooo love alex vixon,neutral
went parti last night dindin show match outfit great mind think alik anyway happi birthday ate lara,great,positive
happi b day woke side earth wish bit late,happi b day,positive
thank teach valu better person day love much best mum world,thank,positive
happi mother day,happi,positive
laugh glad self confid wonder trait applaud extra loud okay,glad,positive
thank,thank,positive
twitter day,twitter day,neutral
get readi week nice today stuck insid work,nice,positive
tre depress,depress,negative
felt like behav like son ate compens pig home roast sugar almond pain tum threw still feel sick,sick,negative
happi mother day peopl love mom lot still,happi mother day peopl love mom lot still,positive
sorri hear,sorri,negative
awesom dude yay surpris celebr got meet year ago soooo friendli,soooo friendli,positive
make happi hear girl talk tweet nba could give nugget love,happi,positive
get hang twitter,get hang twitter,neutral
know neck jack forc pay park bc turn head parallel park free space,know neck jack forc pay park bc turn head parallel park free space,negative
want back,want back,neutral
go miss roomi longer roomi start tomorrow,miss,negative
bath two littl angel keyla janic,bath two littl angel keyla janic,neutral
yep finish chock full spell grammat error clean tomorrow pop hehe,chock,negative
hahahha lol true alway rememb bd never rememb date even day,hahahha lol true alway rememb bd never rememb date even day,neutral
famili hang,famili hang,neutral
watch ellen love dish tan gorgeou,gorgeou,positive
goin hun worri,worri,negative
im bannish work till,im bannish,negative
morn get see let know right go go see wolverin,morn get see let know right go go see wolverin,neutral
red top tabloid build em knock em,red top tabloid build em knock em,neutral
tonight parti w girl minu vita,tonight parti w girl minu vita,positive
made sad thought jump joy,made sad thought jump joy,neutral
simpl,simpl,neutral
pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven,pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven,neutral
saw play amaz,amaz,positive
_ glad break twitter virgin two,glad,positive
dinner fam miss,miss,negative
_live want better bound bad egg though soon learn,_live want better bound bad egg though soon learn,neutral
hell yeah kellynn got twitter final,hell yeah kellynn got twitter final,neutral
know worth shot though,wort,positive
open facebook account littl confus realli get twitter seem much better,better,positive
ship stuck,ship stuck,negative
dustbin babi wait x,wait,positive
go dwell happen pass shame support life x,shame,negative
look like offic tv get mlb network look like mlbn televis det bal game today wieter,look like offic tv get mlb network look like mlbn televis det bal game today wieter,neutral
home empti hand comic found today shall indulg cupcak magnolia bakeri,home empti hand comic found today shall indulg cupcak magnolia bakeri,neutral
lay bed til workkk oh life definit pinch nerv,definit pinch nerv,negative
today busi day exhaust,exhaust,negative
go go sunday got much go weekend,go go sunday got much go weekend,neutral
sorri hear ur flight got cancel blow,sorri,negative
ohh tooth hurt ohh im sad hurt,im sad hurt,negative
get distract like thank new follow take troubl follow other feelin love,get distract like thank new follow take troubl follow other feelin love,positive
u think u bill ha ii finish pay mine broke,broke,negative
sure say big jst saw pic u ur last bday look pretti miss,sure say big jst saw pic u ur last bday look pretti miss,neutral
sore throat plan tet outing marwel though good time,sore throat plan tet outing marwel though good time,neutral
mcfli gig last nightt omg amazin didnt sit whole thing mcfli see best mate tutu,amazin,positive
day without sleep migrain thought life postr meant relax,migrain,negative
suck,suck,negative
when sway sway winner announc,when sway sway winner announc,neutral
k check,k check,neutral
pretti well wide awak,pretti well,positive
want wake earli get coffe tomorrow today go busyy day keep write booo whoo,want wake earli get coffe tomorrow today go busyy day keep write booo whoo,neutral
miss daddi mommi,miss daddi mommi,negative
dog offici depress brother dog gone want go outsid play half heartedli,offici depress,negative
realiz forward text msg iphon,realiz forward text msg iphon,neutral
frist post find new car parent excit,excit,positive
argh noo miss killer wossi suck miss brandon total failur anyon know repeat must investig,suck,negative
serious bore without anyon talk tire enough sleep,bore,negative
lost pleas help find good home,lost,negative
peter gordon morn go piec wan na hide go piec almost die ever,peter gordon morn go piec wan na hide go piec almost die ever,neutral
ok got bit bad back lift drum hardwar car downer,bad,negative
lmao smh one threw,lmao smh one threw,neutral
oh nice go,oh nice go,positive
get readi work work weekend,get readi work work weekend,neutral
gon na celebr mother day famili gon na start parti tonit,parti,positive
agre,agre,positive
comput hopeless everyth els,hopeless everyth els,negative
degre gross sky thunderstorm perfect match mood lol,perfect,positive
_ nd aww thank,thank,positive
sorri rb ps,sorri,negative
saw amaz heeel big,saw amaz heeel big,neutral
stuck finger throat bunch bump tongu throat,stuck,negative
dang last url went,dang,negative
ohoh miss ur tweet im gon na stay awak night see announc time differ,miss ur tweet,negative
damnit suck one one thought drag back lol,damnit suck,negative
boss move nyc,boss move nyc,neutral
sooo crazi fever,sooo crazi,negative
spend saturday morn take note research essay stupid recal book use fair,stupid,negative
think need new friend,think need new friend,neutral
look forward gig ireland see ya,look forward gig ireland see ya,neutral
pleas review sunehr ad placement,pleas,positive
aww loooov,aww loooov,positive
hungri twitter want food,hungri twitter want food,neutral
awesom lucki,awesom lucki,positive
yea know tell everyth ps send direct messag tell haha,yea know tell everyth ps send direct messag tell ha,neutral
haha im jewish love one,love,positive
great time beer garden wit boyo think sun got bit though feel bit ill,great time beer garden wit boyo think sun got bit though feel bit ill,neutral
l day matt fun weekend,fun,negative
u realli think mayb ur right lol btw phone u use think u told b might app u,u realli think mayb ur right lol btw phone u use think u told b might app,neutral
feel pain mine way,feel pain,negative
come home two day,come home two day,neutral
sadli come one,sadli,negative
cant wait see boy tomorrow,cant wait,positive
ehhh check dentist app next week though get molar pull root canal,ehhh check dentist app next week though get molar pull root canal,neutral
aww miss drive elmwood,aww miss drive,negative
omg wango tango awsom love babi take,omg wango tango awsom love babi take,positive
version live interact tran siberian ticket planner launch cool,cool,positive
_ realli wish could go,wish,positive
yeah real hard know get smile,yeah real hard know get smile,neutral
decemb good next big birthday fli sure,good,negative
made night way funni,made night way funni,positive
woo cav happi mother day,happi,positive
make face get home mom watch soap,make face get home mom watch soap,neutral
go work,go work,neutral
believ went got boba without,believ went got boba without,neutral
today,today,neutral
thank warm welcom make plan arriv time air,thank,positive
day count,day count,neutral
sorri friend swamp deadlin right famili visit boot charad,sorri friend,negative
brainfreez,brainfreez,neutral
discov shortcom graviti use twitpic integr subtract pic url charact limit,discov shortcom graviti use twitpic integr subtract pic url charact limit,neutral
sunburn peel,sunburn peel,negative
perki purpl nail polish perki chip,perki purpl nail polish perki chip,neutral
put camera smoker pit longer vandal door without caught,put camera smoker pit longer vandal door without caught,neutral
lay alon sinc mook soo comfi f n play pen thought ill first one cuddl,one cuddl,negative
hate dentist,hate,negative
noth aim join sorri,sorri,negative
take twitter break cell die,die,negative
qood morninq,qood morninq,neutral
write english origin write storyyyyi listen littl respect erasur aaaaaah,write english origin write storyyyyi listen littl respect erasur aaaaaah,neutral
need follow,need follow,neutral
wish could get nail done stupid job,stupid job,negative
littl wormi labyrinth sadli pass away today ok he still around happi ghost form aww,littl wormi labyrinth sadli pass away today ok he still around happi ghost form,neutral
pant idea could new attempt world wide attract busi back airlin,pant idea could new attempt world wide attract busi back airlin,neutral
good one,good,positive
yep infact popular miss india talent film actress lot,popular,positive
dosen want go work tomorrow,dosen want,negative
daniel dsd voic great,voic great,positive
wish birthday massacr would come australia think said think tho,wish birthday massacr would come australia think said think tho,neutral
hope go red lobster weekend,hope go red lobster weekend,neutral
_x_atl u mean jack barakat wow u ever gone hous hehe mean ur ssoo lucki address,lucki,positive
sure hope becom afternoon,sure hope,positive
mean famou congrat,congrat,positive
phone pass away yesterday jump tabl search new phone,pass away,negative
fantast friend includ sever one met thank life amaz peopl,amaz peopl,positive
tamlyn wish cool sock draw,cool,positive
rice crusti bread chili aawww,rice crusti bread chili aawww,neutral
like mind even dear,like mind even dear,neutral
come save pack pleas,come save pack pleas,neutral
ye love tea make typic english,ye love tea,positive
mouth sure,mouth sure,positive
_dec de final hour histori pm went highschool make homework friend,final hour histori pm went highschool make homework friend,neutral
pancak lemon sugar thank,thank,positive
si bueno guess entertain,entertain,negative
hunrgi right heel kill hardli walk,kill,negative
electron key stop work keyhol cant get car much technolog,electron key stop work keyhol,negative
yay three follow good know one person big wide world like fishi,good,positive
name toni hey poor toni,poor toni,negative
goodmorn,goodmorn,positive
took shift tomorrow realli feel like work right,realli feel like,negative
love mine happi motherï ½s day mom john taylor much love,love mine happi motherï ½s day mom john taylor much love,positive
saw black snake garden went back pictur gone,saw black snake garden went back pictur gone,neutral
bought ludi rug dog best,best,positive
waterfront anymor faccia luna clarendon,waterfront anymor,negative
love mum much happi mother day wonder mother,love mum much happi mother day wonder mother,positive
slip caught flu feel like poop,feel like poop,negative
urg play wow wait week til im dad day til mcfli im excit l,excit,positive
ok passeng one aliv dead know til end cri,cri,negative
discov share g reader even know sigh g reader newb,discov share g reader even know sigh g reader newb,neutral
chill tonit spew venom write funni seem like style,chill tonit spew venom write funni seem like style,neutral
u pleas pray lord know need,u pleas pray lord know need,neutral
aaaaaw want live usa,aaaaaw want live usa,neutral
morn tweepl,morn tweepl,positive
hey get,hey get,neutral
hour sleep rest need,rest need,positive
make day much better rough one mention love new photo,make day much better rough one mention love new photo,neutral
want sit home prom night someon hang,want sit home,negative
head home foot surgeri wish boyfriend come cuddl,wish,positive
concert tonight chackin come tomorrow,concert tonight chackin come tomorrow,neutral
happen thought come back today,happen thought come back today,neutral
lol dammit well next time,dammit,negative
lol ever forget,lol,positive
still jealou,still jealou,negative
forev ethan,forev ethan,negative
im sad im give first didnt noth,sad,negative
week mine easi final,easi,negative
wow beauti pictur way straight want let know bella,wow beauti pictur,positive
arch draw check mvcc cad degre look good,look good,positive
peopl pencil sharp sharpen pencil philosophi,peopl pencil sharp sharpen pencil philosophi,neutral
go home usual mr posit one daze well min tomorrow,go home usual mr posit one daze well min tomorrow,neutral
alway lee let go pari,alway lee let go pari,neutral
know want come keep compani whilst mum friend night nice even,nice,positive
cook dad lot fun kitchen togeth,lot fun,positive
bounc rush make feel nauseou,bounc rush make feel nauseou,negative
woolseri morn hope see north molton u clinch north devon leagu titl love day,love day,positive
play singstar without fave duetter,play singstar without fave duetter,negative
miss bb cereal nut think like everi kind avail,like,positive
weird oh draw,weird,negative
woke mum sing new gn r cd replac bought im good daughter,im good daughter,positive
bird oh man cool sleep yet night,cool,negative
mile go that ok u radio alwa help,alwa help,positive
street fighter iv skill lack beat seth easi,lack,negative
fil cool peopl like,cool,positive
good morn work espn sunday night basebal hope get rain,good,positive
think honeymoon good life either honey moon joseph arthur,think honeymoon good life either honey moon joseph arthur,neutral
son got stung bug first time littl finger slightli swollen,swollen,negative
hour ago came realis went buy someth onlin,hour ago came realis went buy someth onlin,neutral
oh refer lil exchang lj regard twitter archiv post,oh refer lil exchang lj regard twitter archiv post,neutral
bump dj opu drunk car lmao act like u know,act like u know,negative
kiss feet peopl kick anyth want morn everyon hope best day ever,best,positive
brief preview omg jame creepi role scare,scare,negative
miss crab leg attend go away instead,miss,negative
hick mean,mean,negative
gettn readi take trip jersey dad good need new heart whoeva see pleas say prayer dad,good,negative
back soon need run shop cut grass,back soon need run shop cut grass,neutral
plan transform bedroom today random,plan transform bedroom today random,neutral
home tomorrow run spin time chiropractor laundri shop visit famili miss nathan,miss,negative
that anoth sponsor,that anoth sponsor,neutral
us go stuck offic without window,stuck,negative
sad make proud,sad,negative
sorri tri keep,sorr,negative
home alon hw,home alon hw,neutral
accord quarter famili six live poverti,live poverti,negative
plan spend money go well,go well,negative
upload bamboozl pictur facebook,upload bamboozl pictur facebook,neutral
congratul guy finish month earli booo,congratul,positive
actual wish back taho miss,miss,negative
woke wan na stay bed,woke wan na stay bed,neutral
bday june wack ihav seen promot bday parti someon better finagl asap,wack,negative
would great vip act enjoy see noooo,would great vip act enjoy see noooo,neutral
_mari wish could make hate commut sometim,wish could make hate commut sometim,neutral
workin long day today hope make good tip,hope make good tip,positive
went quick chanc lol,chanc,negative
hate headach mayb readi rock,hate,negative
thank support,thank support,positive
realli android twitter app tweeti calibr,realli android twitter app tweeti calibr,neutral
good day drive mountain visit kati eat chip fudg stock love smell soap,love,positive
nyappi mother day mom,nyappi mother day mom,positive
yeah im gon na take ur pictur ipod babi,yeah im gon na take ur pictur ipod babi,neutral
traumat moment childhood dog massacr babi bunni brother got bb gun,traumat,negative
lol wish way micros everyth lol,lol wish way micros everyth lol,neutral
organ itil forget peopl fail preach convert peopl,fail,negative
_libertin um glad enjoy,glad,positive
dinner even play card alreadi pack readi head home tomorrow go home,dinner even play card alreadi pack readi head home tomorrow go home,neutral
im allerg cat tonsil get swollen hurt dooo,im allerg cat tonsil get swollen hurt dooo,negative
say feel mama tuck night lone get tomorrow tough,tomorrow tough,negative
miss alot one day,miss,negative
sound like great night glad success,glad,positive
thank share,thank,positive
say mlia instead fml hope find soon,hope,positive
garden go well almost corn pea onion beet yet though,well,positive
nah jkin hot bore,nah jkin hot bore,neutral
ahhh sqeaki clean fresh even though wear dirti cloth love two half men amaz,ahhh sqeaki clean fresh even though wear dirti cloth love two half men amaz,positive
ye read mani time,ye read mani time,neutral
cuz play grown twitter,cuz play grown twitter,neutral
live ignor,live ignor,negative
nope tell want cameo cream,nope tell want cameo cream,neutral
gon na miss,gon na miss,negative
quit like worth relax place nice coffe shop fresh air mani oik,relax place,positive
_terribl haha new fact cost part kind spock,cost part,neutral
today love day fun even,love,positive
beto pizzeria banksvil rd believ beachview area sorri answer like year later,sorri,negative
sigh sister bein strang came way copenhagen london phone turn wan na see dammit,dammit,negative
amaz,amaz,positive
barb tri figur dsl aint connect need googl go home comput start work soon smh,barb tri figur dsl aint connect need googl go home comput start work soon smh,neutral
