text,selected_text,sentiment,label
bah cowork ran work late bag smack knee realli hurt,hurt,negative,-1
back later,back later,neutral,0
aw torn ace heart hunchback,torn ace heart,negative,-1
fun speak,fun speak,neutral,0
lost friend alon sleepi wan na go home,lost friend alon sleepi,negative,-1
haha ye,haha ye,neutral,0
give easili,give easili,negative,-1
better way spoil mum let kick back relax nice meal bottl favorit wine wine red,favorit,positive,1
mannnn _ got iphon im jealou,jealou,negative,-1
photoshoot,photoshoot,neutral,0
awesom work good friend,awesom,positive,1
yay play show tonight boo gon na soggi work right play,yay play show tonight boo gon na soggi work right play,neutral,0
chilliin,chilliin,positive,1
know agent let know,know agent let know,neutral,0
still smell smoke kitchenfir,still smell smoke kitchenfir,neutral,0
celtic laker rematch sound better think lol,better,positive,1
anyon extra kean ticket promis buy drink take rad pic fb blog flickr etc,anyon extra kean ticket promis buy drink take rad pic fb blog flickr etc,neutral,0
ride one catch one summer til pop open one,ride one catch one summer til pop open one,neutral,0
good gor juz yea kno ask yesterday tha hospit talk u said,good gor juz yea kno ask yesterday tha hospit talk u said,neutral,0
ok pop say hi check thing probabl head guttah later tonight,ok pop say hi check thing probabl head guttah later tonight,neutral,0
wow realli missin fam ili today baddd,baddd,negative,-1
sourc say,sourc say,neutral,0
sooo tire,sooo tire,negative,-1
hey chang twitter account even tell,hey chang twitter account even tell,neutral,0
thank yyyyyyyyyoooooooooouuuuu,thank yyyyyyyyyoooooooooouuuuu,positive,1
lucki kid wan na see loservil piti im oz,lucki,positive,1
fell asleep wait ride,fell asleep wait ride,neutral,0
sick flu like thing,sick,negative,-1
still repli simfing problem irap parodi video get respons sorri guy,sorri guy,negative,-1
happi star war day everyon enjoy holiday uk,happi star war day everyon enjoy holiday uk,positive,1
mile essex give plenti warn arriv time get least one free beer,mile essex give plenti warn arriv time get least one free beer,neutral,0
snore annoy n keep sleep like right lol honestli wud miss eva left love,snore annoy n keep sleep like right lol honestli wud miss eva left love,neutral,0
miss bbi wish go tomorrow make good,miss bbi,negative,-1
well im work quit readi post publicli still beta test cool new script code,cool,positive,1
sweeeeet san fran awesom love,love,positive,1
_mounc ye last way past bedtim,_mounc ye last way past bedtim,neutral,0
hi join twitter,hi join twitter,neutral,0
wait sleep pill kick gon na tire work tomorrow,tire,negative,-1
eat ice cream get readi graduat,eat ice cream get readi graduat,neutral,0
happi mother day mum,happi mother day mum,positive,1
casey gone piddl littl carpet prolli freak caus new get back,freak,negative,-1
hemp cloth marvel unfortun,unfortun,negative,-1
gon na read stori bout adam lambert onlin bed nighti night,gon na read stori bout adam lambert onlin bed nighti night,neutral,0
saw none baddi best,best,positive,1
im beach pretti,pretti,positive,1
certainli cheer huh,certainli cheer huh,neutral,0
week post horribl traumat jump cholla accid cholla next dirti trick piec start emerg hand ouch,horribl,negative,-1
reali want go caus nice everybodi busi,busi,negative,-1
awesom ocean beach know way yourbiggestfan al big fan rs,awesom,positive,1
least get watch time let go pen,least get watch time let go pen,neutral,0
cool wear black time go,cool wear black time go,neutral,0
haha know work blip apart obviou thank reblip song nice day,thank,positive,1
safe trip joshi poo knock dead speech,safe,positive,1
woof wish allow go,wish allow go,positive,1
u friendster add email adress add loco_crime_ st com add leav comment,u friendster add email adress add loco_crime_ st com add,neutral,0
ticket,ticket,neutral,0
thank afrin nasal spray also got giant teacup tonight,thank,positive,1
acsm unfathom think one one kept comfort bedroom ye,acsm unfathom think one one kept comfort bedroom ye,neutral,0
aww love daddi work day week almost day still tri go sf us,love,positive,1
mani test todayyy feel confid anyy,feel confid,negative,-1
graduat done im littl sad anyon want hang,sad,negative,-1
hahaa awesome,hahaa awesome,positive,1
holi smoke star trek freak awesomeeee,awesomeeee,positive,1
hate fallout keep make jump also low health money ammo food worri get,hate fallout keep make jump also low health money ammo food worri get,neutral,0
itun lost song,itun lost song,neutral,0
gloomi weather sun must tire come play head victoria garden impuls buy haha,gloomi weather sun must tire come play head victoria garden impuls buy haha,neutral,0
look forward next week math geographi english french exam total hour,look forward,negative,-1
poor get outsid sleep garden sun good forget suncream,poor,negative,-1
well,well,negative,-1
prob hun,prob,positive,1
dad watch mtv go sim minute,dad watch mtv go sim minute,neutral,0
absolut,absolut,neutral,0
matter chickade,matter chickade,neutral,0
hey mia total ador music cd,ador,positive,1
shop clean bmfing webcam chat nephew noth spesh good bank holiday monday nonetheless,good,positive,1
need ask someth lmao love,love,positive,1
splinter look pain heroic save mr pickl,pain,negative,-1
sad,sad,negative,-1
nice see tweet sunday th may celebr mother day today nice yer mom,e nice,positive,1
decid tran frm relax natur hair wish whole head look like root age instant gratif,wish,positive,1
namaskar namast r marathi peopl say namaskar marathi word naaaah,namaskar namast r marathi peopl say namaskar marathi word naaaah,neutral,0
congrat cuss like matter minut know reward,congrat cuss like matter minut know reward,neutral,0
humou dorito oh ye,humou dorito oh ye,neutral,0
miss awesom weather movi,miss awesom weather,negative,-1
today go normal day hope group pilot larg airlin come last night much drink,today go normal day hope group pilot larg airlin come last night much drink,neutral,0
kid terribl good evan call childlin,terribl,negative,-1
unfortunatley aerlingu longer fli copenhagen fli ryanair billund drive copenhagen one day,unfortunatley,negative,-1
sad actual googl term suck tho,suck tho,negative,-1
hate fight,hate fight,negative,-1
watch didnt want win put good fight lol,watch didnt want win put good fight lol,neutral,0
car warm sprite tast like sore throat,car warm sprite tast like sore throat,negative,-1
came th cross countri beat dumbo,came th cross countri beat dumbo,neutral,0
candl wax enjoy,enjoy,positive,1
unassum unpretenti suppos endear relat,endear,positive,1
tomorrow valeria lunch go get hair done im arrav late got cousin babtizm whatev spell,tomorrow valeria lunch go get hair done im arrav late got cousin babtizm whatev spell,neutral,0
goooooddd morn tweet week three workout mention got new glass yesterday,goooooddd morn tweet,positive,1
hate comput much,hate,negative,-1
fine go big walk today mile,fine,positive,1
want red cruiser like one lmfao,like one,negative,-1
mmmmmmmm morn,mmmmmmmm morn,neutral,0
neither,neither,neutral,0
hour work sunday boo find time two hour lunchbreak though yeah,hour work sunday boo find time two hour lunchbreak though yeah,neutral,0
bugger forgot still wash machin,bugger forgot still wash machin,negative,-1
_lauri send love bless heal thought famili peac,send love bless heal thought famili peac,positive,1
back hurt realli bad,realli bad,negative,-1
ah ye know feel,ah ye know feel,neutral,0
night cooker dad,night cooker dad,neutral,0
modem offlin week god bless g network tim left may schedul brutal,brutal,negative,-1
nope coquitlam,nope coquitlam,neutral,0
parent teacher thing yesterday bore go skl saturday lol,bore,negative,-1
lichfield tweetup sound like fun hope see everyon els,p sound like fun,positive,1
big boom thunder storm almost mayb go home earli ah probabl,big boom thunder storm almost mayb go home earli ah probabl,neutral,0
bevvi day twn great day,great,positive,1
first night myer w lydia actual excit summer,excit,positive,1
good morn,good morn,positive,1
best show ever,best show ever,positive,1
url previou post timer job remov space mess url es,mess,negative,-1
think iv hurt tooth eilish cassi draw competiton draw cooki pineappl haha l,think iv hurt tooth eilish cassi draw competiton draw cooki pineappl haha l,neutral,0
want know audit mander text repli pleas,want know audit mander text repli pleas,neutral,0
even nooooo secret namerebecca pleas,secret namerebecca pleas,negative,-1
miss neic wait see bad n grown lol,miss,negative,-1
need get comput fix,need get comput fix,neutral,0
realli hope car ill termin,ill,negative,-1
cool peopl want find follow today english guess english tweet,cool peopl want find follow today english guess english tweet,neutral,0
sir woulda put honey,sir woulda put honey,neutral,0
watch x men origin wolverin total love haha,total love,positive,1
vote u person myspac keep talk fake u help thru hrdest time life x,u help thru hrdest time life,positive,1
sad miss guy last night,sad,negative,-1
final got call marriag counsel day late,final got call marriag counsel day late,neutral,0
ok,ok,neutral,0
_ babi,babi,neutral,0
today last day high school end go home sick stupid dead rat,sick,negative,-1
impromptu pool parti except know swim get,impromptu pool parti except know swim get,neutral,0
lost tooth day whilst eat gum oww,oww,negative,-1
happi year,happi year,positive,1
oh hella forgot say offici good morn like hear go goooooooooooood morrrrrrrrn twittervil lol,goooooooooooood morrrrrrrrn,positive,1
phew make note case anyon els run issueï ½,phew make note case anyon els run issueï ½,neutral,0
vote everi day,vote everi day,negative,-1
starv diet kill eat pm,diet kill,negative,-1
talk,talk,neutral,0
im soo bore im deffo miss music channel,bore,negative,-1
nite nite bday girl fun concert,e fun,positive,1
nicotin replac patch hour far good sleep hour get bit twitchi,far good sleep hour get bit twitchi,neutral,0
_sanderson twatter late either get repli turn,twatter late either get repli turn,neutral,0
sleep lost voic coupl day ago,lost voic,negative,-1
hate park car get hit,hate,negative,-1
heard fall wait,heard fall wait,neutral,0
nightmar huggl,nightmar huggl,neutral,0
creeper feel disappoint cyberstalk skill internet privaci,creeper feel disappoint cyberstalk skill internet privaci,negative,-1
go bed late headach,headach,negative,-1
happi mother day mom,happi,positive,1
grab coffe make mom breakfast,grab coffe make mom breakfast,neutral,0
im think im go fun tonight mayb chang come,go fun,positive,1
thank major chop,thank major chop,neutral,0
haha know cant handl fame thank,thank,positive,1
got updat ipod,got updat ipod,neutral,0
ye sober hahaha tanghal tapat dude haha wild kno plan plan go us,hahaha,positive,1
never miss icarli son huge crush miranda,crush,positive,1
saw jame carvil store today head realli bald,saw jame carvil store today head realli bald,neutral,0
yellow,yellow,neutral,0
mean go come back vancouv way hahah,mean go come back vancouv way hahah,neutral,0
feel smooth like chrome,feel smooth,positive,1
ew traffic,ew traffic,negative,-1
download song tri sneak lil homework main prioriti song lol,download song tri sneak lil homework main prioriti song lol,neutral,0
_ra_ra_ alon need coffe,alon need coffe,neutral,0
sound like,sound like,neutral,0
bad day day realiz mess put one happiest day life,bad day day realiz mess put one happiest day life,neutral,0
walk class hate bike especi mine,hate bike,negative,-1
_nesmith,_nesmith,neutral,0
fail inspect know pass wo oven wo anti tip bracket sold w oven wors tax,wors tax,negative,-1
jona brother live parti rock hard love song,jona brother live parti rock hard,positive,1
happi mother day mother world,happi,positive,1
min hr min googl wave demo look lot fun would love test though,would love test though,positive,1
sleepi tabz head bed fun night listen next episod joss,fun night,positive,1
except short dude larenz fineass tate yum,except short dude larenz fineass tate yum,neutral,0
screw review thought wolverin awesom enough domin monaghan like,thought wolverin awesom,positive,1
follow us recent pleas dont offend follow back hit limit hope free soon,hope,positive,1
ye work,ye work,neutral,0
hmmm mayb meant elud someth brand new know media,hmmm mayb meant elud someth brand new know media,neutral,0
done spa meet vic late lunch,done spa meet vic late lunch,neutral,0
happi monday go tavar today hope everyon bless day,happi,positive,1
alway want go oz,alway want go oz,neutral,0
thx,thx,neutral,0
cool luv,luv,positive,1
need repres blackberri,need,positive,1
okay dedic th tweet fact go appl store huge crack glass screen,okay dedic th tweet fact go appl store huge crack glass screen,neutral,0
could ever actual allow stay,could ever actual allow stay,neutral,0
let know turn,let know turn,neutral,0
sass detect long back sass haha,sass detect long back sass haha,neutral,0
yeah think ahaha,ahaha,positive,1
sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help googl ki jai ho,sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help googl ki jai ho,neutral,0
sleep accept appolog,sleep un,negative,-1
wolverin boss serious,serious,negative,-1
live pain bring,live pain bring,neutral,0
okay back later,okay back later,neutral,0
powerblog powerblog challeng keep talk newbi follow,g powerblog challeng keep talk newbi follow,neutral,0
almost die laptop screen set bright reinstal window vista got headach insanedefault,die,positive,1
wait tish get got drive mom crv pick ducki first time,wait tish get got drive mom crv pick ducki first time,neutral,0
tri decid movi friend go well lol p bibl studi nite mean day cake buy,go well,negative,-1
go shower want smell school tomorrow,go shower want smell school tomorrow,neutral,0
sigh know,sigh know,neutral,0
discov caus bug new netplay build publish bug fix hope new beta tomorrow,hope,positive,1
free twitter tool get follow,free twitter tool get follow,neutral,0
got home work chug big bottl appl juic,got home work chug big bottl appl juic,neutral,0
ye pleas dont go die cri normal lead small anim get harm,g harm,negative,-1
write report card soooo tire amaz day check fb soon,amaz day,positive,1
big brother done,big brother done,neutral,0
good news final finish easact workout paus hour bad news resist band torn,good news final finish easact workout paus hour bad news resist band torn,neutral,0
well good morn wonder day neighborhood thank follow anoth morn,well good morn wonder day neighborhood thank follow anoth morn,positive,1
ftsk merci merced amaz tonight alway,amaz tonight,positive,1
hope ok,hope,positive,1
school done alreadi hurt much see everi day,hurt much,positive,1
wait listen wind blow tumblewe none old enough know someon say crackerack,wait listen wind blow tumblewe none old enough know someon say crackerack,neutral,0
hell yeah,hell yeah,neutral,0
shirt dinner need ask actual vill,shirt dinner need ask actual vill,neutral,0
know,know,neutral,0
huh smelli noooo love alex vixon,huh smelli noooo love alex vixon,neutral,0
went parti last night dindin show match outfit great mind think alik anyway happi birthday ate lara,great,positive,1
happi b day woke side earth wish bit late,happi b day,positive,1
thank teach valu better person day love much best mum world,thank,positive,1
happi mother day,happi,positive,1
laugh glad self confid wonder trait applaud extra loud okay,glad,positive,1
thank,thank,positive,1
twitter day,twitter day,neutral,0
get readi week nice today stuck insid work,nice,positive,1
tre depress,depress,negative,-1
felt like behav like son ate compens pig home roast sugar almond pain tum threw still feel sick,sick,negative,-1
happi mother day peopl love mom lot still,happi mother day peopl love mom lot still,positive,1
sorri hear,sorri,negative,-1
awesom dude yay surpris celebr got meet year ago soooo friendli,soooo friendli,positive,1
make happi hear girl talk tweet nba could give nugget love,happi,positive,1
get hang twitter,get hang twitter,neutral,0
know neck jack forc pay park bc turn head parallel park free space,know neck jack forc pay park bc turn head parallel park free space,negative,-1
want back,want back,neutral,0
go miss roomi longer roomi start tomorrow,miss,negative,-1
bath two littl angel keyla janic,bath two littl angel keyla janic,neutral,0
yep finish chock full spell grammat error clean tomorrow pop hehe,chock,negative,-1
hahahha lol true alway rememb bd never rememb date even day,hahahha lol true alway rememb bd never rememb date even day,neutral,0
famili hang,famili hang,neutral,0
watch ellen love dish tan gorgeou,gorgeou,positive,1
goin hun worri,worri,negative,-1
im bannish work till,im bannish,negative,-1
morn get see let know right go go see wolverin,morn get see let know right go go see wolverin,neutral,0
red top tabloid build em knock em,red top tabloid build em knock em,neutral,0
tonight parti w girl minu vita,tonight parti w girl minu vita,positive,1
made sad thought jump joy,made sad thought jump joy,neutral,0
simpl,simpl,neutral,0
pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven,pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven,neutral,0
saw play amaz,amaz,positive,1
_ glad break twitter virgin two,glad,positive,1
dinner fam miss,miss,negative,-1
_live want better bound bad egg though soon learn,_live want better bound bad egg though soon learn,neutral,0
hell yeah kellynn got twitter final,hell yeah kellynn got twitter final,neutral,0
know worth shot though,wort,positive,1
open facebook account littl confus realli get twitter seem much better,better,positive,1
ship stuck,ship stuck,negative,-1
dustbin babi wait x,wait,positive,1
go dwell happen pass shame support life x,shame,negative,-1
look like offic tv get mlb network look like mlbn televis det bal game today wieter,look like offic tv get mlb network look like mlbn televis det bal game today wieter,neutral,0
home empti hand comic found today shall indulg cupcak magnolia bakeri,home empti hand comic found today shall indulg cupcak magnolia bakeri,neutral,0
lay bed til workkk oh life definit pinch nerv,definit pinch nerv,negative,-1
today busi day exhaust,exhaust,negative,-1
go go sunday got much go weekend,go go sunday got much go weekend,neutral,0
sorri hear ur flight got cancel blow,sorri,negative,-1
ohh tooth hurt ohh im sad hurt,im sad hurt,negative,-1
get distract like thank new follow take troubl follow other feelin love,get distract like thank new follow take troubl follow other feelin love,positive,1
u think u bill ha ii finish pay mine broke,broke,negative,-1
sure say big jst saw pic u ur last bday look pretti miss,sure say big jst saw pic u ur last bday look pretti miss,neutral,0
sore throat plan tet outing marwel though good time,sore throat plan tet outing marwel though good time,neutral,0
mcfli gig last nightt omg amazin didnt sit whole thing mcfli see best mate tutu,amazin,positive,1
day without sleep migrain thought life postr meant relax,migrain,negative,-1
suck,suck,negative,-1
when sway sway winner announc,when sway sway winner announc,neutral,0
k check,k check,neutral,0
pretti well wide awak,pretti well,positive,1
want wake earli get coffe tomorrow today go busyy day keep write booo whoo,want wake earli get coffe tomorrow today go busyy day keep write booo whoo,neutral,0
miss daddi mommi,miss daddi mommi,negative,-1
dog offici depress brother dog gone want go outsid play half heartedli,offici depress,negative,-1
realiz forward text msg iphon,realiz forward text msg iphon,neutral,0
frist post find new car parent excit,excit,positive,1
argh noo miss killer wossi suck miss brandon total failur anyon know repeat must investig,suck,negative,-1
serious bore without anyon talk tire enough sleep,bore,negative,-1
lost pleas help find good home,lost,negative,-1
peter gordon morn go piec wan na hide go piec almost die ever,peter gordon morn go piec wan na hide go piec almost die ever,neutral,0
ok got bit bad back lift drum hardwar car downer,bad,negative,-1
lmao smh one threw,lmao smh one threw,neutral,0
oh nice go,oh nice go,positive,1
get readi work work weekend,get readi work work weekend,neutral,0
gon na celebr mother day famili gon na start parti tonit,parti,positive,1
agre,agre,positive,1
comput hopeless everyth els,hopeless everyth els,negative,-1
degre gross sky thunderstorm perfect match mood lol,perfect,positive,1
_ nd aww thank,thank,positive,1
sorri rb ps,sorri,negative,-1
saw amaz heeel big,saw amaz heeel big,neutral,0
stuck finger throat bunch bump tongu throat,stuck,negative,-1
dang last url went,dang,negative,-1
ohoh miss ur tweet im gon na stay awak night see announc time differ,miss ur tweet,negative,-1
damnit suck one one thought drag back lol,damnit suck,negative,-1
boss move nyc,boss move nyc,neutral,0
sooo crazi fever,sooo crazi,negative,-1
spend saturday morn take note research essay stupid recal book use fair,stupid,negative,-1
think need new friend,think need new friend,neutral,0
look forward gig ireland see ya,look forward gig ireland see ya,neutral,0
pleas review sunehr ad placement,pleas,positive,1
aww loooov,aww loooov,positive,1
hungri twitter want food,hungri twitter want food,neutral,0
awesom lucki,awesom lucki,positive,1
yea know tell everyth ps send direct messag tell haha,yea know tell everyth ps send direct messag tell ha,neutral,0
haha im jewish love one,love,positive,1
great time beer garden wit boyo think sun got bit though feel bit ill,great time beer garden wit boyo think sun got bit though feel bit ill,neutral,0
l day matt fun weekend,fun,negative,-1
u realli think mayb ur right lol btw phone u use think u told b might app u,u realli think mayb ur right lol btw phone u use think u told b might app,neutral,0
feel pain mine way,feel pain,negative,-1
come home two day,come home two day,neutral,0
sadli come one,sadli,negative,-1
cant wait see boy tomorrow,cant wait,positive,1
ehhh check dentist app next week though get molar pull root canal,ehhh check dentist app next week though get molar pull root canal,neutral,0
aww miss drive elmwood,aww miss drive,negative,-1
omg wango tango awsom love babi take,omg wango tango awsom love babi take,positive,1
version live interact tran siberian ticket planner launch cool,cool,positive,1
_ realli wish could go,wish,positive,1
yeah real hard know get smile,yeah real hard know get smile,neutral,0
decemb good next big birthday fli sure,good,negative,-1
made night way funni,made night way funni,positive,1
woo cav happi mother day,happi,positive,1
make face get home mom watch soap,make face get home mom watch soap,neutral,0
go work,go work,neutral,0
believ went got boba without,believ went got boba without,neutral,0
today,today,neutral,0
thank warm welcom make plan arriv time air,thank,positive,1
day count,day count,neutral,0
sorri friend swamp deadlin right famili visit boot charad,sorri friend,negative,-1
brainfreez,brainfreez,neutral,0
discov shortcom graviti use twitpic integr subtract pic url charact limit,discov shortcom graviti use twitpic integr subtract pic url charact limit,neutral,0
sunburn peel,sunburn peel,negative,-1
perki purpl nail polish perki chip,perki purpl nail polish perki chip,neutral,0
put camera smoker pit longer vandal door without caught,put camera smoker pit longer vandal door without caught,neutral,0
lay alon sinc mook soo comfi f n play pen thought ill first one cuddl,one cuddl,negative,-1
hate dentist,hate,negative,-1
noth aim join sorri,sorri,negative,-1
take twitter break cell die,die,negative,-1
qood morninq,qood morninq,neutral,0
write english origin write storyyyyi listen littl respect erasur aaaaaah,write english origin write storyyyyi listen littl respect erasur aaaaaah,neutral,0
need follow,need follow,neutral,0
wish could get nail done stupid job,stupid job,negative,-1
littl wormi labyrinth sadli pass away today ok he still around happi ghost form aww,littl wormi labyrinth sadli pass away today ok he still around happi ghost form,neutral,0
pant idea could new attempt world wide attract busi back airlin,pant idea could new attempt world wide attract busi back airlin,neutral,0
good one,good,positive,1
yep infact popular miss india talent film actress lot,popular,positive,1
dosen want go work tomorrow,dosen want,negative,-1
daniel dsd voic great,voic great,positive,1
wish birthday massacr would come australia think said think tho,wish birthday massacr would come australia think said think tho,neutral,0
hope go red lobster weekend,hope go red lobster weekend,neutral,0
_x_atl u mean jack barakat wow u ever gone hous hehe mean ur ssoo lucki address,lucki,positive,1
sure hope becom afternoon,sure hope,positive,1
mean famou congrat,congrat,positive,1
phone pass away yesterday jump tabl search new phone,pass away,negative,-1
fantast friend includ sever one met thank life amaz peopl,amaz peopl,positive,1
tamlyn wish cool sock draw,cool,positive,1
rice crusti bread chili aawww,rice crusti bread chili aawww,neutral,0
like mind even dear,like mind even dear,neutral,0
come save pack pleas,come save pack pleas,neutral,0
ye love tea make typic english,ye love tea,positive,1
mouth sure,mouth sure,positive,1
_dec de final hour histori pm went highschool make homework friend,final hour histori pm went highschool make homework friend,neutral,0
pancak lemon sugar thank,thank,positive,1
si bueno guess entertain,entertain,negative,-1
hunrgi right heel kill hardli walk,kill,negative,-1
electron key stop work keyhol cant get car much technolog,electron key stop work keyhol,negative,-1
yay three follow good know one person big wide world like fishi,good,positive,1
name toni hey poor toni,poor toni,negative,-1
goodmorn,goodmorn,positive,1
took shift tomorrow realli feel like work right,realli feel like,negative,-1
love mine happi motherï ½s day mom john taylor much love,love mine happi motherï ½s day mom john taylor much love,positive,1
saw black snake garden went back pictur gone,saw black snake garden went back pictur gone,neutral,0
bought ludi rug dog best,best,positive,1
waterfront anymor faccia luna clarendon,waterfront anymor,negative,-1
love mum much happi mother day wonder mother,love mum much happi mother day wonder mother,positive,1
slip caught flu feel like poop,feel like poop,negative,-1
urg play wow wait week til im dad day til mcfli im excit l,excit,positive,1
ok passeng one aliv dead know til end cri,cri,negative,-1
discov share g reader even know sigh g reader newb,discov share g reader even know sigh g reader newb,neutral,0
chill tonit spew venom write funni seem like style,chill tonit spew venom write funni seem like style,neutral,0
u pleas pray lord know need,u pleas pray lord know need,neutral,0
aaaaaw want live usa,aaaaaw want live usa,neutral,0
morn tweepl,morn tweepl,positive,1
hey get,hey get,neutral,0
hour sleep rest need,rest need,positive,1
make day much better rough one mention love new photo,make day much better rough one mention love new photo,neutral,0
want sit home prom night someon hang,want sit home,negative,-1
head home foot surgeri wish boyfriend come cuddl,wish,positive,1
concert tonight chackin come tomorrow,concert tonight chackin come tomorrow,neutral,0
happen thought come back today,happen thought come back today,neutral,0
lol dammit well next time,dammit,negative,-1
lol ever forget,lol,positive,1
still jealou,still jealou,negative,-1
forev ethan,forev ethan,negative,-1
im sad im give first didnt noth,sad,negative,-1
week mine easi final,easi,negative,-1
wow beauti pictur way straight want let know bella,wow beauti pictur,positive,1
arch draw check mvcc cad degre look good,look good,positive,1
peopl pencil sharp sharpen pencil philosophi,peopl pencil sharp sharpen pencil philosophi,neutral,0
go home usual mr posit one daze well min tomorrow,go home usual mr posit one daze well min tomorrow,neutral,0
alway lee let go pari,alway lee let go pari,neutral,0
know want come keep compani whilst mum friend night nice even,nice,positive,1
cook dad lot fun kitchen togeth,lot fun,positive,1
bounc rush make feel nauseou,bounc rush make feel nauseou,negative,-1
woolseri morn hope see north molton u clinch north devon leagu titl love day,love day,positive,1
play singstar without fave duetter,play singstar without fave duetter,negative,-1
miss bb cereal nut think like everi kind avail,like,positive,1
weird oh draw,weird,negative,-1
woke mum sing new gn r cd replac bought im good daughter,im good daughter,positive,1
bird oh man cool sleep yet night,cool,negative,-1
mile go that ok u radio alwa help,alwa help,positive,1
street fighter iv skill lack beat seth easi,lack,negative,-1
fil cool peopl like,cool,positive,1
good morn work espn sunday night basebal hope get rain,good,positive,1
think honeymoon good life either honey moon joseph arthur,think honeymoon good life either honey moon joseph arthur,neutral,0
son got stung bug first time littl finger slightli swollen,swollen,negative,-1
hour ago came realis went buy someth onlin,hour ago came realis went buy someth onlin,neutral,0
oh refer lil exchang lj regard twitter archiv post,oh refer lil exchang lj regard twitter archiv post,neutral,0
bump dj opu drunk car lmao act like u know,act like u know,negative,-1
kiss feet peopl kick anyth want morn everyon hope best day ever,best,positive,1
brief preview omg jame creepi role scare,scare,negative,-1
miss crab leg attend go away instead,miss,negative,-1
hick mean,mean,negative,-1
gettn readi take trip jersey dad good need new heart whoeva see pleas say prayer dad,good,negative,-1
back soon need run shop cut grass,back soon need run shop cut grass,neutral,0
plan transform bedroom today random,plan transform bedroom today random,neutral,0
home tomorrow run spin time chiropractor laundri shop visit famili miss nathan,miss,negative,-1
that anoth sponsor,that anoth sponsor,neutral,0
us go stuck offic without window,stuck,negative,-1
sad make proud,sad,negative,-1
sorri tri keep,sorr,negative,-1
home alon hw,home alon hw,neutral,0
